NGAsubEQID,Hypocenter_Longitude_deg,Hypocenter_Latitude_deg,Hypocenter_Depth_km,Earthquake_Magnitude,Number of records
3000105,-85.3884,10.0242,20.7,7.66,19
3000177,-98.608,16.848,23.0,7.38,4
4000001,142.823,38.1165,17.4965,9.12,628
4000002,143.221,38.301,18.0334,7.36,117
4000068,144.0786,41.7796,25.0101,8.29,166
4000094,143.7558,40.4365,10.6174,7.76,8
4000095,143.6866,40.6184,7.851,8.26,3
4000096,142.1672,38.1496,36.9798,7.65,3
4000165,131.8515,31.7808,3.3449,6.74,40
6000057,-73.6217,-16.2081,28.7746,8.41,5
6000079,-70.8173,-19.642,20.1125,8.15,37
6000149,-72.9587,-36.2089,30.4055,8.81,28
6000272,-76.5154,-13.3247,38.55,8.0,5
6000323,-71.61,-33.125,40.0,7.98,15
6000338,-71.6617,-31.5571,29.81,8.31,34
6000339,-79.9979,0.2988,19.0058,7.82,12
ak0219neiszm,-157.8876,55.3635,35.0,8.2,46
us10007mn3,-73.9413,-43.4064,38.0,7.6,26
us2000d3km,-97.9787,16.3855,22.0,7.2,14
us7000asvb,-158.596,55.0715,28.0,7.8,144
us7000i9bw,-102.9561,18.4552,26.94,7.6,4
us7000kg30,-160.7604,54.4596,32.57,7.2,42
