"","Period","sigma","tau","phi"
"1",-1,0.827322269830422,0.684029456500524,0.465366351165357
"2",0,0.783095251559102,0.476086278915365,0.62175560153724
"3",0.01,0.787575755551695,0.480689967488401,0.623869157667554
"4",0.02,0.786793675415581,0.474121572780193,0.627895709412315
"5",0.025,0.786971115055953,0.467189258406896,0.633291191129029
"6",0.03,0.796107591501065,0.474960891376707,0.638904882520294
"7",0.04,0.798372378509288,0.463372216110298,0.650142018411061
"8",0.05,0.80241841225437,0.450720139368574,0.663872475926211
"9",0.075,0.840394744666356,0.480033618709221,0.689805082448484
"10",0.1,0.860399205292184,0.476340692600727,0.716509830386214
"11",0.15,0.883578107042549,0.476192913754317,0.744278563533215
"12",0.2,0.892349331282831,0.496885636106894,0.741209817576348
"13",0.25,0.871876730448482,0.487975547789235,0.722529513485319
"14",0.3,0.874938989077338,0.504516162410513,0.71482982343649
"15",0.4,0.85587699640294,0.514524392199394,0.683951813217542
"16",0.5,0.86712867489593,0.562812773905361,0.659661974313909
"17",0.75,0.885259494357272,0.613805872752728,0.637908083444594
"18",1,0.861617928237215,0.58192078805212,0.635416124042025
"19",1.5,0.867247186877944,0.599113679456122,0.627041053070894
"20",2,0.858523863136883,0.571927597169167,0.640282786877627
"21",2.5,0.881362558956589,0.622091514999563,0.624341338769151
"22",3,0.845782109275748,0.592107205069436,0.603950688447156
"23",4,0.84707150656481,0.620470485389697,0.576668461071221
"24",5,0.748390675190652,0.503348280723309,0.553831301936978
"25",7.5,0.636431673590934,0.378463913892709,0.511674057414259
"26",10,0.604360704402592,0.387235579588341,0.464004813473825
