"","Period","sigma","tau","phi","logLik","AIC","BIC"
"1",-1,0.61932667292924,0.401936114183053,0.471182435917373,-942.30737864728,1896.61475729456,1927.9370003149
"2",0,0.874737121152116,0.595018387875004,0.641184957100618,-1365.10768100434,2742.21536200867,2773.53760502901
"3",0.01,0.878052249131863,0.598643803951236,0.642340523551424,-1367.65427497242,2747.30854994483,2778.63079296518
"4",0.02,0.878310652250348,0.595318023166696,0.645775543938704,-1374.72790876079,2761.45581752158,2792.77806054193
"5",0.025,0.87897751163838,0.591169487366685,0.650476827544694,-1384.36040708505,2780.72081417011,2812.04305719045
"6",0.03,0.883653639606182,0.590776636139067,0.657135237969675,-1398.06713349412,2808.13426698825,2839.45651000859
"7",0.04,0.888435612288761,0.584342752632342,0.669224465055606,-1422.41082303458,2856.82164606917,2888.14388908951
"8",0.05,0.896059470081055,0.579008307304449,0.683865450212524,-1451.38969569774,2914.77939139547,2946.10163441581
"9",0.075,0.943312971010872,0.618357824226265,0.712371365578038,-1506.62396683763,3025.24793367526,3056.56578591604
"10",0.1,0.969670362411561,0.626910147395094,0.739759608813856,-1558.80487561009,3129.60975122018,3160.93199424052
"11",0.15,0.990221491026423,0.62755714378045,0.765970386229595,-1604.588605834,3221.17721166799,3252.49506390878
"12",0.2,0.997505265793705,0.644460100517418,0.761372401737316,-1597.00041777102,3206.00083554205,3237.31868778283
"13",0.25,0.95893536922381,0.611438346806062,0.73871522957326,-1551.9343496432,3115.8686992864,3147.17335987658
"14",0.3,0.941157132493962,0.591023244197758,0.732439944884367,-1542.0394901342,3096.07898026839,3127.39243851411
"15",0.4,0.903929328812652,0.565109890423186,0.705506231888554,-1492.89766810096,2997.79533620192,3029.11757922226
"16",0.5,0.896720136956316,0.584138921341267,0.680359261417977,-1444.63686680376,2901.27373360751,2932.59597662786
"17",0.75,0.900707876814819,0.617986717063367,0.655261090626858,-1395.11547491583,2802.23094983167,2833.55319285201
"18",1,0.871971903068888,0.579462195103942,0.651581586746356,-1386.25054145234,2784.50108290468,2815.82332592502
"19",1.5,0.839060316041348,0.549417760504189,0.634162706565095,-1348.69327871253,2709.38655742507,2740.70880044541
"20",2,0.830169896833999,0.52964947622754,0.639260111332832,-1353.74077855326,2719.48155710652,2750.78181402678
"21",2.5,0.836890239445621,0.556853775810747,0.624739261808207,-1320.98965060031,2653.97930120061,2685.26632768552
"22",3,0.810717968736103,0.536352026351211,0.607939247507958,-1278.46114754429,2568.92229508858,2600.18720580941
"23",4,0.801284862773566,0.555616130474653,0.577363097943076,-1205.61900202641,2423.23800405283,2454.48071719007
"24",5,0.725190756516842,0.470562738878845,0.551790125062338,-1129.99635472763,2271.99270945525,2303.17732157983
"25",7.5,0.629204000599516,0.375696595907522,0.504727393940467,-983.087336379553,1978.17467275911,2009.20922022186
"26",10,0.584900935115363,0.373138868256105,0.450418126739343,-796.384790399662,1604.76958079932,1635.51645037429
