"","Period","c1","Global_a0","c4","Global_c0"
"1",-1,-1.16394419513154,-0.001133006994809,1.23468487947953,-2.37505175934388
"2",0,-1.91527983167832,-0.00239112765619947,1.14338368587113,-2.29736208785615
"3",0.01,-1.95274097736821,-0.00230259046330704,1.15772669660173,-2.23616353888281
"4",0.02,-1.97221688293003,-0.00225715797517631,1.1623474451405,-2.16051793730154
"5",0.025,-1.99168930827729,-0.00221089647711101,1.16554905297527,-2.0756643651236
"6",0.03,-2.02360393144264,-0.002139395304655,1.16908956051825,-1.93643383079159
"7",0.04,-2.09119837333464,-0.00198840197815487,1.16582710806202,-1.54943865933262
"8",0.05,-2.139470203426,-0.00189124925828786,1.17061209807298,-1.29814159499297
"9",0.075,-2.18035268815392,-0.00189544626846567,1.20432949436914,-1.21652754819366
"10",0.1,-2.21294752147113,-0.00200691326108341,1.21317640824291,-0.977469172755875
"11",0.15,-2.19254796106207,-0.00227815821471398,1.23906655123431,-1.08176707273386
"12",0.2,-2.11748939456272,-0.00265934704971387,1.20419767775019,-1.0549648873989
"13",0.25,-2.03638779090667,-0.00279160064273974,1.16895673276989,-1.20228345175534
"14",0.3,-1.8973548332834,-0.00311158127348252,1.13996896772092,-1.63543017512553
"15",0.4,-1.72956903071997,-0.003337290247865,1.09036699526619,-2.14553139006517
"16",0.5,-1.52131149932316,-0.00378854777706303,1.10520138903013,-3.34052836339457
"17",0.75,-1.2586411108371,-0.00402554191659608,1.06546831104246,-4.54716164857291
"18",1,-1.07608631053361,-0.00394502387077612,1.05554294594193,-5.64102324830537
"19",1.5,-1.053762500152,-0.00303635679182447,1.06461351071322,-6.46895730790686
"20",2,-0.980356994620413,-0.00242765090709761,1.13256393712604,-7.8271771306258
"21",2.5,-0.905273619001688,-0.00227064222845316,1.17772258037656,-8.84200298504219
"22",3,-0.802979018597453,-0.00210577766341206,1.17620861181572,-9.65015284228931
"23",4,-0.914156683571411,-0.00133301569231423,1.18246487365978,-9.69081530301514
"24",5,-0.836069591474752,-0.00125223173592708,1.18227959136172,-10.3182552759953
"25",7.5,-0.676542937397929,-0.00145788234032102,1.32700643177469,-12.7735552520806
"26",10,-0.811082485000294,-0.000972630286402978,1.30045342552027,-12.3242749065369
